中国	86	China	↑
阿富汗	93	Afghanistan	A
阿尔巴尼亚	355	Albania	A
阿尔及利亚	213	Algeria	A
阿根廷	54	Argentina	A
阿拉伯联合酋长国	971	United Arab Emirates	A
阿曼	968	Oman	A
阿塞拜疆	994	Azerbaijan	A
阿森松	247	Ascension	A
埃及	20	Egypt	A
埃塞俄比亚	251	Ethiopia	A
爱尔兰	353	Ireland	A
爱沙尼亚	372	Estonia	A
安道尔共和国	376	Andorra	A
安哥拉	244	Angola	A
安圭拉岛	1264	Anguilla	A
安提瓜和巴布达	1268	Antigua and Barbuda	A
奥地利	43	Austria	A
澳大利亚	61	Australia	A
巴巴多斯	1246	Barbados	B
巴布亚新几内亚	675	Papua New Cuinea	B
巴哈马	1242	Bahamas	B
巴基斯坦	92	Pakistan	B
巴拉圭	595	Paraguay	B
巴林	973	Bahrain	B
巴拿马	507	Panama	B
巴西	55	Brazil	B
白俄罗斯	375	Belarus	B
百慕大群岛	1441	BermudaIs.	B
保加利亚	359	Bulgaria	B
贝宁	229	Benin	B
比利时	32	Belgium	B
冰岛	354	Iceland	B
波多黎各	1787	PuertoRico	B
波兰	48	Poland	B
玻利维亚	591	Bolivia	B
伯利兹	501	Belize	B
博茨瓦纳	267	Botswana	B
布基纳法索	226	Burkina-faso	B
布隆迪	257	Burundi	B
朝鲜	850	North Korea	C
丹麦	45	Denmark	D
德国	49	Germany	D
东萨摩亚(美)	684	Samoa Eastern	D
多哥	228	Togo	D
多米尼加共和国	1890	Dominica Rep.	D
俄罗斯	7	Russia	E
厄瓜多尔	593	Ecuador	E
法国	33	France	F
法属玻利尼西亚	689	French Polynesia	F
法属圭亚那	594	French Guiana	F
菲律宾	63	Philippines	F
斐济	679	Fiji	F
芬兰	358	Finland	F
冈比亚	220	Gambia	G
刚果	242	Congo	G
哥伦比亚	57	Colombia	G
哥斯达黎加	506	Costa Rica	G
格林纳达	1809	Grenada	G
格鲁吉亚	995	Georgia	G
古巴	53	Cuba	G
关岛	1671	Guam	G
圭亚那	592	Guyana	G
哈萨克斯坦	327	Kazakstan	H
海地	509	Haiti	H
韩国	82	Korea	H
荷兰	31	Netherlands	H
荷属安的列斯	599	Netheriands Antilles	H
洪都拉斯	504	Honduras	H
吉布提	253	Djibouti	J
吉尔吉斯坦	331	Kyrgyzstan	J
几内亚	224	Guinea	J
加拿大	1	Canada	J
加纳	233	Ghana	J
加蓬	241	Gabon	J
柬埔寨	855	Kampuchea (Cambodia )	J
捷克	420	Czech Republic	J
津巴布韦	263	Zimbabwe	J
喀麦隆	237	Cameroon	K
卡塔尔	974	Qatar	K
开曼群岛	1345	Cayman Is.	K
科特迪瓦	225	IvoryCoast	K
科威特	965	Kuwait	K
肯尼亚	254	Kenya	K
库克群岛	682	Cook Is.	K
拉脱维亚	371	Latvia	L
莱索托	266	Lesotho	L
老挝	856	Laos	L
黎巴嫩	961	Lebanon	L
立陶宛	370	Lithuania	L
利比里亚	231	Liberia	L
利比亚	218	Libya	L
列支敦士登	423	Liechtenstein	L
留尼旺	262	Reunion	L
卢森堡	352	Luxembourg	L
罗马尼亚	40	Romania	L
马达加斯加	261	Madagascar	M
马尔代夫	960	Maldives	M
马耳他	356	Malta	M
马拉维	265	Malawi	M
马来西亚	60	Malaysia	M
马里	223	Mali	M
马里亚那群岛	1670	Mariana Is	M
马提尼克	596	Martinique	M
毛里求斯	230	Mauritius	M
美国	1	United States of America	M
蒙古	976	Mongolia	M
蒙特塞拉特岛	1664	Montserrat Is	M
孟加拉国	880	Bangladesh	M
秘鲁	51	Peru	M
缅甸	95	Burma	M
摩尔多瓦	373	Moldova, Republic of	M
摩洛哥	212	Morocco	M
摩纳哥	377	Monaco	M
莫桑比克	258	Mozambique	M
墨西哥	52	Mexico	M
纳米比亚	264	Namibia	N
南非	27	South Africa	N
南斯拉夫	381	Yugoslavia	N
瑙鲁	674	Nauru	N
尼泊尔	977	Nepal	N
尼加拉瓜	505	Nicaragua	N
尼日尔	227	Niger	N
尼日利亚	234	Nigeria	N
挪威	47	Norway	N
葡萄牙	351	Portugal	P
日本	81	Japan	R
瑞典	46	Sweden	R
瑞士	41	Switzerland	R
萨尔瓦多	503	EISalvador	S
塞拉利昂	232	Sierra Leone	S
塞内加尔	221	Senegal	S
塞浦路斯	357	Cyprus	S
塞舌尔	248	Seychelles	S
沙特阿拉伯	966	Saudi Arabia	S
